Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-100.65,52.03,COWAN,5040FJ3,4/26/2016,2016,4,26,†,13,,-6,,3.5,,14.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/27/2016,2016,4,27,†,15,,-1,,7,,11,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/28/2016,2016,4,28,†,16,,-5,,5.5,,12.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/29/2016,2016,4,29,†,17,,-4,,6.5,,11.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,4/30/2016,2016,4,30,†,20,,-5,,7.5,,10.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/1/2016,2016,5,1,†,23,,-3,,10,,8,,0,,3,,0,,3,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/2/2016,2016,5,2,†,22,,-1,,10.5,,7.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/3/2016,2016,5,3,†,20,,1,,10.5,,7.5,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/4/2016,2016,5,4,†,32,,-2,,15,,3,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/5/2016,2016,5,5,†,35,,12,,23.5,,0,,5.5,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/6/2016,2016,5,6,†,20,,10,,15,,3,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/7/2016,2016,5,7,†,23,,-3,,10,,8,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/8/2016,2016,5,8,†,28,,6,,17,,1,,0,,0,,0,,0,,0,,,,,
-100.65,52.03,COWAN,5040FJ3,5/9/2016,2016,5,9,†,28,,11,,19.5,,0,,1.5,,0,,0,,0,,0,,,,,
